exp_name,task_type,model_arch,model_size,rep,N,n_size,D,K,K_list,G,encoding,n_layer,n_embd,n_head,lr,wd,nsteps,support_size,stat_mem_frac,stat_mem_thresh,rule_onset_acc85,rule_onset_acc90,rule_onset_acc95,row_onset_90,col_onset_90,block_onset_90,mem_onset_mem10,mem_onset_mem20,mem_onset_mem35,mem_onset_mem50,mem_onset_stat,novel_onset_01,novel_onset_05,novel_onset_09
DiT_mini_rowVarK3456_n6_N4096,rowVarK,DiT,mini,1,4096,6.0,,,"[3, 4, 5, 6]",,,6.0,384.0,6.0,0.0001,,1000000,5489031744,7.462153966366276e-07,0.10000074621539665,21008.0,21008.0,23312.0,148.0,,,349856.0,484000.0,639648.0,878240.0,349856.0,196.0,324.0,21008.0
DiT_mini_rowVarK34_n6_N4096,rowVarK,DiT,mini,1,4096,6.0,,,"[3, 4]",,,6.0,384.0,6.0,0.0001,,1000000,1838265625,2.228187234910624e-06,0.10000222818723492,1636.0,2500.0,4580.0,628.0,,,473760.0,580256.0,772768.0,,473760.0,316.0,588.0,2500.0
DiT_mini_sudoku6x6_N4096_onehot_zeromean_autoSD,sudoku,DiT,mini,1,4096,6.0,,,,,onehot,6.0,384.0,6.0,0.0001,,1000000,28200960,0.00014524328249818446,0.10014524328249819,115360.0,339616.0,,160416.0,131744.0,40208.0,,,,,,2164.0,21776.0,427680.0
DiT_mini_sudoku6x6_N4096_scalar,sudoku,DiT,mini,1,4096,6.0,,,,,scalar,6.0,384.0,6.0,0.0001,,1000000,28200960,0.00014524328249818446,0.10014524328249819,58704.0,91984.0,,628.0,88912.0,48912.0,188064.0,254624.0,378528.0,559776.0,188064.0,4836.0,19216.0,
FFHQ32_DiT_CNN_EDM,parity,unknown,unknown,1,4096,,36.0,,,36.0,,12.0,768.0,12.0,0.0001,,5000,34359738368,1.1920928955078125e-07,0.10000011920928956,,,,,,,,,,,,,,
GPT_B_parity_N32768_D36_G12_even,parity,GPT,B,1,32768,,36.0,,,12.0,,,,,0.0001,0.01,100000,8589934592,3.814697265625e-06,0.10000381469726563,35344.0,37648.0,40720.0,33552.0,,,26128.0,27408.0,28944.0,30480.0,26128.0,1.0,,
GPT_B_parity_N32768_D36_G18_even,parity,GPT,B,1,32768,,36.0,,,18.0,,,,,0.0001,0.01,100000,17179869184,1.9073486328125e-06,0.10000190734863282,36112.0,38416.0,43024.0,36112.0,,,24848.0,26128.0,27920.0,29200.0,24848.0,1.0,,
GPT_B_parity_N32768_D36_G2_even,parity,GPT,B,1,32768,,36.0,,,2.0,,,,,0.0001,0.01,100000,262144,0.125,0.225,148.0,148.0,156.0,132.0,,,148.0,47632.0,53072.0,56144.0,48656.0,132.0,140.0,
GPT_B_parity_N32768_D36_G36_even,parity,GPT,B,1,32768,,36.0,,,36.0,,,,,0.0001,0.01,100000,34359738368,9.5367431640625e-07,0.10000095367431641,40208.0,43024.0,47376.0,43024.0,,,29968.0,31760.0,34320.0,35856.0,29968.0,1.0,308.0,
GPT_B_parity_N32768_D36_G3_even,parity,GPT,B,1,32768,,36.0,,,3.0,,,,,0.0001,0.01,100000,16777216,0.001953125,0.101953125,492.0,500.0,500.0,468.0,,,33296.0,34576.0,36368.0,37648.0,33296.0,460.0,468.0,500.0
GPT_B_parity_N32768_D36_G4_even,parity,GPT,B,1,32768,,36.0,,,4.0,,,,,0.0001,0.01,100000,134217728,0.000244140625,0.100244140625,6024.0,6024.0,6024.0,4900.0,,,29968.0,30736.0,31760.0,32784.0,29968.0,2980.0,5256.0,6024.0
GPT_B_parity_N32768_D36_G6_even,parity,GPT,B,1,32768,,36.0,,,6.0,,,,,0.0001,0.01,100000,1073741824,3.0517578125e-05,0.100030517578125,61776.0,64336.0,69456.0,53584.0,,,49680.0,51536.0,54096.0,55632.0,49680.0,6152.0,,
GPT_B_parity_N32768_D36_G9_even,parity,GPT,B,1,32768,,36.0,,,9.0,,,,,0.0001,0.01,100000,4294967296,7.62939453125e-06,0.10000762939453126,40208.0,42512.0,46864.0,37648.0,,,29456.0,30736.0,32272.0,33808.0,29456.0,8072.0,,
